Price Date,Open Price,High Price,Low Price,Close Price,Trade Value,Number Of Trades,Traded Quantity
26-02-2010,56.8400,56.9800,56.1800,56.9000,0,0,1316600
01-03-2010,57.0600,58.5100,56.9000,58.3400,0,0,1550800
02-03-2010,58.3300,59.6000,58.3100,59.0800,0,0,1800100
03-03-2010,59.2000,59.4800,58.9000,59.0400,0,0,1331500
04-03-2010,58.6700,58.6700,57.6600,58.1900,0,0,2158300
05-03-2010,58.3300,59.5700,58.3000,59.5600,0,0,1446500
08-03-2010,59.1600,60.0000,59.1600,59.8700,0,0,1156200
09-03-2010,59.6900,59.9900,59.2400,59.4800,0,0,1769500
10-03-2010,59.5500,60.0000,58.9400,59.8100,0,0,1238800
11-03-2010,59.5300,59.9700,59.4200,59.9700,0,0,1091000
12-03-2010,60.0800,60.0800,59.0200,59.1200,0,0,1443000
15-03-2010,59.3500,59.7000,59.1400,59.5100,0,0,1529200
16-03-2010,60.0100,60.1700,59.5900,60.1200,0,0,926900
17-03-2010,60.0200,61.5000,60.0200,61.1400,0,0,1788600
18-03-2010,61.3500,61.9000,61.2400,61.7700,0,0,1683700
19-03-2010,61.3500,61.7900,60.1500,60.7000,0,0,1566600
22-03-2010,60.6500,61.7000,60.1000,61.5900,0,0,1342100
23-03-2010,61.6700,62.3700,61.4000,62.3200,0,0,975500
24-03-2010,62.0100,62.3000,61.4000,61.4200,0,0,1024500
25-03-2010,61.8700,62.1500,61.5600,61.6400,0,0,1201700
26-03-2010,61.5100,61.6400,60.6300,60.9200,0,0,1159800
29-03-2010,60.2000,60.5800,59.9000,60.3000,0,0,1351700
30-03-2010,59.3800,60.0700,59.2100,59.7300,0,0,1968500
31-03-2010,59.1800,59.5500,58.6600,58.8100,0,0,1631800
01-04-2010,59.6600,60.1900,59.4800,60.1800,0,0,1930700
05-04-2010,60.4900,61.3400,60.2200,61.0800,0,0,1083600
06-04-2010,60.5000,61.4500,60.1800,61.1300,0,0,1145800
07-04-2010,61.1900,61.4300,59.6200,59.8600,0,0,1391600
08-04-2010,59.9100,60.4300,59.3100,60.3100,0,0,1373100
09-04-2010,60.4200,60.9700,60.1700,60.9600,0,0,964700
12-04-2010,60.6900,61.7000,60.6200,61.4300,0,0,2165500
13-04-2010,62.1000,63.7300,61.6100,63.0500,0,0,5037000
14-04-2010,63.2600,63.3700,62.4100,62.8000,0,0,2091000
15-04-2010,62.9900,63.1000,62.4500,62.6600,0,0,1512600
16-04-2010,62.3600,62.4900,61.5300,61.9800,0,0,2976400
19-04-2010,61.4400,62.0900,60.9500,61.7500,0,0,1416200
20-04-2010,61.5000,62.3000,61.1800,62.2300,0,0,1381000
21-04-2010,61.8400,61.8800,61.2100,61.5700,0,0,1201100
22-04-2010,61.1900,62.3200,60.7600,62.2400,0,0,1202800
23-04-2010,62.3300,62.4200,61.3800,61.9500,0,0,1068400
26-04-2010,61.8900,62.6300,61.8000,62.4600,0,0,1527100
27-04-2010,62.3700,62.4000,60.4100,60.4800,0,0,1448700
28-04-2010,60.5200,60.9600,60.1100,60.3600,0,0,1480600
29-04-2010,60.4000,61.2600,60.0300,61.0100,0,0,1031400
30-04-2010,61.2400,61.2400,59.8600,59.9400,0,0,1561800
03-05-2010,60.0800,60.9600,59.9100,60.7500,0,0,1169400
04-05-2010,60.1300,60.3400,57.7800,58.5900,0,0,2751100
05-05-2010,58.9900,59.0300,58.2000,58.9300,0,0,2057600
06-05-2010,58.4800,58.7900,54.5100,56.8300,0,0,2345100
07-05-2010,56.8200,57.4200,55.3100,56.4800,0,0,2663600
10-05-2010,59.3300,60.1100,58.9700,60.0000,0,0,1954500
11-05-2010,58.8800,60.0000,58.5600,59.0600,0,0,1783100
12-05-2010,59.1400,59.6300,58.7100,59.5300,0,0,1829400
13-05-2010,59.8400,60.3400,59.4000,59.6500,0,0,1265800
14-05-2010,58.7300,58.7300,57.0100,57.8700,0,0,1801600
17-05-2010,57.3500,58.0700,56.3700,57.8800,0,0,1510700
18-05-2010,58.0000,58.7200,57.2100,57.4500,0,0,1793100
19-05-2010,57.0200,57.8100,56.3900,56.8900,0,0,1401700
20-05-2010,55.5500,55.9700,54.7100,55.1800,0,0,2157600
21-05-2010,54.4500,56.4700,54.1200,56.3900,0,0,1594700
24-05-2010,56.0200,56.3700,55.4900,55.6600,0,0,1127400
25-05-2010,54.0200,55.5900,53.2800,55.5900,0,0,1907200
27-05-2010,56.3700,57.9200,56.3700,57.9200,0,0,1595300
28-05-2010,58.0000,58.1100,57.2600,57.5300,0,0,1329600
01-06-2010,56.9600,57.8000,56.4200,56.5700,0,0,1401800
02-06-2010,56.6000,58.4700,56.0000,58.4700,0,0,1749500
03-06-2010,58.9800,59.1500,58.0200,58.7900,0,0,1600700
04-06-2010,57.8100,58.5900,57.4500,57.7900,0,0,1797600
07-06-2010,57.5300,57.9600,56.4500,56.5500,0,0,1321600
08-06-2010,56.6200,57.4000,55.9400,57.3800,0,0,1376400
09-06-2010,57.2400,58.3400,56.9900,57.1600,0,0,1337600
10-06-2010,58.0000,58.9000,57.7600,58.9000,0,0,1480000
11-06-2010,58.0900,59.5700,57.9700,59.4300,0,0,1199300
14-06-2010,60.2800,62.0000,60.2800,61.1000,0,0,1893900
15-06-2010,61.1500,62.7000,61.0100,62.6000,0,0,1411400
16-06-2010,62.0700,63.6900,62.0100,63.5600,0,0,1502800
17-06-2010,63.4300,63.8900,62.6100,63.1800,0,0,1044100
18-06-2010,62.9100,63.6300,62.9100,63.4200,0,0,1312000
21-06-2010,63.9500,64.5000,63.0400,63.2300,0,0,1607900
22-06-2010,62.9600,63.6700,62.0100,62.0400,0,0,1575200
23-06-2010,62.3700,62.7700,61.6300,62.2000,0,0,829100
24-06-2010,61.8100,62.3600,61.3300,61.5100,0,0,743600
25-06-2010,62.0300,62.5800,61.2600,62.3200,0,0,1232000
28-06-2010,62.1600,62.3800,61.3000,62.1000,0,0,718700
29-06-2010,61.0300,61.2000,59.5500,59.9100,0,0,1457100
30-06-2010,60.0900,60.7600,59.6200,59.9100,0,0,1370100
01-07-2010,60.1900,60.4300,58.7000,59.1000,0,0,2219200
02-07-2010,59.1000,59.2600,57.9900,58.8800,0,0,772200
06-07-2010,59.8800,60.4500,58.9000,59.4200,0,0,930000
07-07-2010,59.4700,60.8200,59.3500,60.7700,0,0,888400
08-07-2010,61.3000,61.8300,60.9700,61.3400,0,0,1476700
09-07-2010,61.4800,62.6300,61.4100,62.5700,0,0,921100
12-07-2010,62.4800,63.3600,62.1500,63.0200,0,0,1420200
13-07-2010,60.2400,60.4700,58.7000,59.4300,0,0,6297200
14-07-2010,59.4200,59.8400,58.9300,59.3800,0,0,1750300
15-07-2010,59.3500,59.5900,58.8400,59.3500,0,0,1304600
16-07-2010,59.4900,59.4900,58.1600,58.3100,0,0,1684300
19-07-2010,58.6100,58.8900,58.1500,58.6000,0,0,987600
20-07-2010,57.4700,58.9500,57.3400,58.8800,0,0,1157000
21-07-2010,59.1500,59.2200,57.7300,58.0100,0,0,1363500
22-07-2010,58.6000,60.1800,58.4200,59.9600,0,0,1628000
23-07-2010,59.3500,60.2200,59.0600,60.1800,0,0,1363500
26-07-2010,60.3600,60.6700,59.8200,60.6700,0,0,781200
27-07-2010,60.9600,61.0800,60.2200,60.7700,0,0,1061000
28-07-2010,60.3500,60.8600,60.0000,60.4300,0,0,701000
29-07-2010,60.5300,60.8700,59.6900,60.4100,0,0,748500
30-07-2010,59.9300,60.6900,59.5200,60.4800,0,0,1000800
02-08-2010,61.6000,61.8900,61.1500,61.3400,0,0,1083400
03-08-2010,62.0000,62.7700,61.3700,62.6300,0,0,2741400
04-08-2010,62.9700,63.5500,62.5400,63.3700,0,0,1638200
05-08-2010,62.8100,62.9300,61.6900,62.2200,0,0,896200
06-08-2010,61.8500,61.9600,60.7500,61.8800,0,0,1000300
09-08-2010,62.0500,62.6800,62.0500,62.4000,0,0,713000
10-08-2010,61.5600,62.2900,61.1200,62.0500,0,0,1006100
11-08-2010,60.6900,60.9000,59.5800,59.7500,0,0,1180800
12-08-2010,58.8500,59.4800,58.6800,59.2800,0,0,975900
13-08-2010,58.8000,59.3900,58.8000,59.0500,0,0,671700
16-08-2010,58.0900,59.5700,58.0700,59.4900,0,0,742400
17-08-2010,59.9300,60.2400,59.3500,59.6600,0,0,1253600
18-08-2010,59.4900,60.5900,59.4900,60.4000,0,0,764300
19-08-2010,60.0800,60.3900,59.3800,59.6200,0,0,1009200
